datetime,pm25_level,solar_radiation,boundary_layer_height,temp,humidity,precip,precipprob,precipcover,windspeed,pressure,conditions,year,month,day,day_of_week,is_weekend,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,moving_avg_7,moving_std_7
2019-03-04,70.116930171278,170.37479,425.16406,18.2,80.9,0.0,0.0,0.0,15.4,1009.8,Partially cloudy,2019,3,4,0,0,67.7314558629776,68.46000000000001,67.32753623188407,58.05124223602485,64.1286231884058,98.23998682476945,114.26195652173912,76.88582869511443,20.88309135052279
2019-03-05,58.70652173913044,202.27933,543.3197,17.7,72.4,0.0,0.0,0.0,18.0,1010.8,Partially cloudy,2019,3,5,1,0,70.116930171278,67.7314558629776,68.46000000000001,67.32753623188407,58.05124223602485,64.1286231884058,98.23998682476945,70.57939635933425,12.826187147129017
2019-03-06,61.45741106719368,211.85255,539.6169,17.7,65.8,0.0,0.0,0.0,16.2,1011.9,Clear,2019,3,6,2,0,58.70652173913044,70.116930171278,67.7314558629776,68.46000000000001,67.32753623188407,58.05124223602485,64.1286231884058,64.93175848995725,4.8244628841676835
2019-03-07,73.4538208168643,212.67554,352.97745,18.7,62.1,0.0,0.0,0.0,15.9,1012.3,Clear,2019,3,7,3,0,61.45741106719368,58.70652173913044,70.116930171278,67.7314558629776,68.46000000000001,67.32753623188407,58.05124223602485,64.55015675835553,5.000989522997838
2019-03-08,80.90688405797101,199.1842,357.89,19.8,63.1,0.0,0.0,0.0,14.4,1013.8,Clear,2019,3,8,4,0,73.4538208168643,61.45741106719368,58.70652173913044,70.116930171278,67.7314558629776,68.46000000000001,67.32753623188407,66.75052512704687,5.053173495396469
2019-03-09,79.75072463768116,201.77391,512.6224,20.1,60.0,0.0,0.0,0.0,14.8,1013.9,Clear,2019,3,9,5,1,80.90688405797101,73.4538208168643,61.45741106719368,58.70652173913044,70.116930171278,67.7314558629776,68.46000000000001,68.690431959345,7.381669424860662
2019-03-10,66.03659420289856,220.407,482.00894,19.6,56.4,0.0,0.0,0.0,16.6,1014.2,Clear,2019,3,10,6,1,79.75072463768116,80.90688405797101,73.4538208168643,61.45741106719368,58.70652173913044,70.116930171278,67.7314558629776,70.30339262187088,8.475452215448588
2019-03-11,92.92456140350876,164.27095,432.43643,21.4,59.5,0.555,100.0,4.17,23.8,1013.4,"Rain, Partially cloudy",2019,3,11,0,0,66.03659420289856,79.75072463768116,80.90688405797101,73.4538208168643,61.45741106719368,58.70652173913044,70.116930171278,70.06126952757388,8.584677109487664
2019-03-12,74.04528985507247,190.94469,575.41815,21.1,61.3,0.0,0.0,0.0,14.8,1015.6,Partially cloudy,2019,3,12,1,0,92.92456140350876,66.03659420289856,79.75072463768116,80.90688405797101,73.4538208168643,61.45741106719368,58.70652173913044,73.3195025607497,12.183284493193637
2019-03-13,74.50760869565218,130.79349,274.17355,20.1,61.8,0.0,0.0,0.0,11.2,1015.9,Partially cloudy,2019,3,13,2,0,74.04528985507247,92.92456140350876,66.03659420289856,79.75072463768116,80.90688405797101,73.4538208168643,61.45741106719368,75.51075514874142,10.359946666734348
2019-03-14,81.66304347826087,161.73767,365.16998,18.0,73.2,0.77,100.0,4.17,18.4,1016.8,"Rain, Partially cloudy",2019,3,14,3,0,74.50760869565218,74.04528985507247,92.92456140350876,66.03659420289856,79.75072463768116,80.90688405797101,73.4538208168643,77.37506909566407,8.397927592652664
2019-03-15,66.23128019323671,224.27016,572.924,18.6,71.5,0.0,0.0,0.0,13.0,1018.2,Clear,2019,3,15,4,0,81.66304347826087,74.50760869565218,74.04528985507247,92.92456140350876,66.03659420289856,79.75072463768116,80.90688405797101,78.5478151901493,8.332009856926536
2019-03-16,73.31280193236715,221.66597,427.39832,19.6,66.1,0.0,0.0,0.0,14.8,1016.6,Partially cloudy,2019,3,16,5,1,66.23128019323671,81.66304347826087,74.50760869565218,74.04528985507247,92.92456140350876,66.03659420289856,79.75072463768116,76.45130035233011,9.415399944472176
2019-03-17,71.04428341384863,224.60963,521.54706,21.1,60.0,0.0,0.0,0.0,14.8,1014.6,Partially cloudy,2019,3,17,6,1,73.31280193236715,66.23128019323671,81.66304347826087,74.50760869565218,74.04528985507247,92.92456140350876,66.03659420289856,75.53159710871383,9.353622560353442
2019-03-18,45.0,214.30682,446.62756,21.1,61.9,0.0,0.0,0.0,16.6,1014.1,Clear,2019,3,18,0,0,71.04428341384863,73.31280193236715,66.23128019323671,81.66304347826087,74.50760869565218,74.04528985507247,92.92456140350876,76.24698128170668,8.673138728465231
2019-03-19,90.5,222.43875,431.99643,22.7,59.6,0.0,0.0,0.0,11.2,1010.5,Clear,2019,3,19,1,0,45.0,71.04428341384863,73.31280193236715,66.23128019323671,81.66304347826087,74.50760869565218,74.04528985507247,69.40061536691971,11.700876671182405
2019-03-20,71.42083333333333,200.57503,379.77927,25.7,51.7,0.0,0.0,0.0,16.1,1008.7,Partially cloudy,2019,3,20,2,0,90.5,45.0,71.04428341384863,73.31280193236715,66.23128019323671,81.66304347826087,74.50760869565218,71.75128824476651,14.179765390563762
2019-03-21,119.89583333333331,213.8627,412.8996,25.1,51.5,0.0,0.0,0.0,16.6,1012.1,Partially cloudy,2019,3,21,3,0,71.42083333333333,90.5,45.0,71.04428341384863,73.31280193236715,66.23128019323671,81.66304347826087,71.3103203358638,14.127663219916714
2019-03-22,35.575,233.51996,813.42737,23.5,45.9,0.0,0.0,0.0,24.3,1014.4,Clear,2019,3,22,4,0,119.89583333333331,71.42083333333333,90.5,45.0,71.04428341384863,73.31280193236715,66.23128019323671,76.77214745801702,23.245420755174052
2019-03-23,48.45416666666667,233.43909,649.1565,23.2,49.8,0.0,0.0,0.0,22.3,1013.6,Clear,2019,3,23,5,1,35.575,119.89583333333331,71.42083333333333,90.5,45.0,71.04428341384863,73.31280193236715,72.3926788589832,27.9700267430002
2019-03-24,57.12916666666666,212.4682,552.96436,24.0,51.6,0.0,0.0,0.0,15.1,1012.0,Clear,2019,3,24,6,1,48.45416666666667,35.575,119.89583333333331,71.42083333333333,90.5,45.0,71.04428341384863,68.84144524959743,29.37646817465008
2019-03-25,65.05416666666666,157.79024,437.78348,23.0,61.0,0.0,0.0,0.0,14.8,1012.3,Partially cloudy,2019,3,25,0,0,57.12916666666666,48.45416666666667,35.575,119.89583333333331,71.42083333333333,90.5,45.0,66.85357142857143,29.67188560412428
2019-03-26,79.65,233.84511,778.59644,23.2,58.9,0.0,0.0,0.0,22.4,1013.5,Clear,2019,3,26,1,0,65.05416666666666,57.12916666666666,48.45416666666667,35.575,119.89583333333331,71.42083333333333,90.5,69.71845238095239,28.138737371103772
2019-03-27,66.43478260869566,221.0026,629.7297,24.6,51.5,0.0,0.0,0.0,18.0,1014.3,Partially cloudy,2019,3,27,2,0,79.65,65.05416666666666,57.12916666666666,48.45416666666667,35.575,119.89583333333331,71.42083333333333,68.16845238095239,27.082210217860663
2019-03-28,73.0,227.54855,432.39526,26.3,54.4,0.0,0.0,0.0,9.7,1012.0,Clear,2019,3,28,3,0,66.43478260869566,79.65,65.05416666666666,57.12916666666666,48.45416666666667,35.575,119.89583333333331,67.45615942028985,27.04795975637084
2019-03-29,82.95833333333333,215.92879,354.41467,28.6,53.4,0.0,0.0,0.0,13.5,1008.9,Clear,2019,3,29,4,0,73.0,66.43478260869566,79.65,65.05416666666666,57.12916666666666,48.45416666666667,35.575,60.7567546583851,15.034368188773474
2019-03-30,83.29166666666667,218.0568,340.06528,30.2,50.0,0.255,100.0,4.17,18.0,1007.8,"Rain, Partially cloudy",2019,3,30,5,1,82.95833333333333,73.0,66.43478260869566,79.65,65.05416666666666,57.12916666666666,48.45416666666667,67.52580227743272,12.208212053886118
2019-03-31,51.79166666666666,239.6975,692.6385,28.4,42.4,0.0,0.0,0.0,23.2,1008.9,Partially cloudy,2019,3,31,6,1,83.29166666666667,82.95833333333333,73.0,66.43478260869566,79.65,65.05416666666666,57.12916666666666,72.50258799171843,10.047380023869833
2019-04-01,65.75,245.2167,638.4239,26.6,41.5,0.0,0.0,0.0,21.1,1009.1,Clear,2019,4,1,0,0,51.79166666666666,83.29166666666667,82.95833333333333,73.0,66.43478260869566,79.65,65.05416666666666,71.74008799171843,11.50528434538726
2019-04-02,65.16666666666667,244.20346,512.90515,27.1,42.2,0.0,0.0,0.0,14.2,1009.7,Clear,2019,4,2,1,0,65.75,51.79166666666666,83.29166666666667,82.95833333333333,73.0,66.43478260869566,79.65,71.83949275362319,11.440715655399366
2019-04-03,72.375,240.30919,502.449,27.9,42.3,0.0,0.0,0.0,15.4,1008.7,Clear,2019,4,3,2,0,65.16666666666667,65.75,51.79166666666666,83.29166666666667,82.95833333333333,73.0,66.43478260869566,69.77044513457557,11.097264876521423
2019-04-04,92.6086956521739,238.63545,412.09946,29.8,44.5,0.0,0.0,0.0,14.1,1009.3,Clear,2019,4,4,3,0,72.375,65.16666666666667,65.75,51.79166666666666,83.29166666666667,82.95833333333333,73.0,70.61904761904762,11.02657324196067
2019-04-05,77.25,213.58087,327.83063,30.8,44.1,0.0,0.0,0.0,23.0,1008.2,Clear,2019,4,5,4,0,92.6086956521739,72.375,65.16666666666667,65.75,51.79166666666666,83.29166666666667,82.95833333333333,73.42028985507247,13.859165948258005
2019-04-06,73.75,208.97528,317.29306,31.9,38.0,0.0,0.0,0.0,11.4,1006.9,Partially cloudy,2019,4,6,5,1,77.25,92.6086956521739,72.375,65.16666666666667,65.75,51.79166666666666,83.29166666666667,72.60481366459626,13.36348433336441
2019-04-07,135.91666666666666,206.94125,476.4411,30.0,55.2,5.851,100.0,8.33,32.5,1006.1,"Rain, Partially cloudy",2019,4,7,6,1,73.75,77.25,92.6086956521739,72.375,65.16666666666667,65.75,51.79166666666666,71.24171842650104,12.553835439329317
2019-04-08,68.08333333333333,231.79736,448.9206,28.0,53.2,0.0,0.0,0.0,17.2,1007.2,Partially cloudy,2019,4,8,0,0,135.91666666666666,73.75,77.25,92.6086956521739,72.375,65.16666666666667,65.75,83.25957556935818,24.963756694094144
2019-04-09,68.79166666666667,236.98766,531.189,29.6,48.7,0.0,0.0,0.0,11.2,1006.8,Clear,2019,4,9,1,0,68.08333333333333,135.91666666666666,73.75,77.25,92.6086956521739,72.375,65.16666666666667,83.59290890269152,24.7052295533464
2019-04-10,87.29166666666667,206.56123,326.62518,31.3,44.5,0.0,0.0,0.0,15.5,1008.0,Clear,2019,4,10,2,0,68.79166666666667,68.08333333333333,135.91666666666666,73.75,77.25,92.6086956521739,72.375,84.11076604554866,24.28910366243543
2019-04-11,58.333333333333336,225.1315,368.83215,32.0,38.4,0.0,0.0,0.0,15.3,1007.8,Clear,2019,4,11,3,0,87.29166666666667,68.79166666666667,68.08333333333333,135.91666666666666,73.75,77.25,92.6086956521739,86.24171842650104,23.735931124505374
